portfolio,alpha,beta_RMO,t_RMO,beta_SMB,t_SMB,beta_HML,t_HML,beta_TERM,t_TERM,beta_DEF,t_DEF,r_squared
ME3 BM1,-0.2111435654374102,1.1118567632106942,41.84972768170607,1.3310165556992035,36.363545068166516,-0.8316043622838439,-18.400863059269426,0.32146353205134864,3.552248840438719,1.123302024343292,4.562288524225185,0.9110550645694218
ME3 BM2,-0.3448372951939065,1.078063054047872,44.335103690679425,1.2330745591970653,36.80712257291784,-0.40866725858219416,-9.879865914316309,0.35760140001313173,4.317483146646427,1.5218078912097714,6.753140865641832,0.91341184180351
ME3 BM3,0.1368796891364078,1.0391482776910363,41.0089270323251,1.1615665370232389,33.272385610730815,-0.19602267542764165,-4.547627006976287,0.3961438632478989,4.589672441453037,0.8728793665425074,3.717042469637726,0.8958966194556792
ME3 BM4,0.10033973937554128,1.003826173403297,42.870304078098535,1.0325451867051691,32.00708178250143,0.10767821032812808,2.7033577236258766,0.28613482569933363,3.5875390990550455,1.01538410435402,4.679191511137319,0.8986677986666871
ME3 BM5,0.4854156256489725,1.046313079901769,42.2853407982286,1.1086077488838022,32.51958949569062,0.22509388528729288,5.347730569496726,0.3583946003457207,4.252237501644001,0.6826812978889168,2.9770669230209585,0.8984773684612527
ME4 BM1,0.1598636154022171,1.109834693169571,47.294650085741466,0.8862855703866792,27.413618382904716,-0.8449630334800046,-21.16747568461974,0.40783721277349355,5.102328838352957,0.9141664042479115,4.203600046665808,0.9119627017007143
ME4 BM2,-0.30145779983515436,1.1178605006974383,43.107609380907185,0.9121111288761196,25.53013121745028,-0.45211689071693706,-10.249311689991739,0.3182408747468656,3.6028830276166306,1.346569528340063,5.603218031210786,0.8890298527992442
ME4 BM3,-0.14110758958245107,1.0708771910346127,44.62800524102535,0.8773250151305618,26.53794463156385,-0.1782005468556547,-4.365705939618309,0.41383525213456523,5.063177637654445,1.0967489310419702,4.931936065358471,0.8935601906535541
ME4 BM4,0.47767058944815294,1.1234814428495237,41.52679560456056,0.8335366231706101,22.362799360931014,0.07352953217496906,1.5977247397368206,0.46400741909586407,5.0351836613866,0.6316740466446261,2.5194048543850327,0.8725914885752344
ME4 BM5,0.23259170245553681,1.1543782150337156,34.025077960612705,0.9480979221013563,20.283512570873942,0.283420015529018,4.9108782172478715,0.5139996174302297,4.447763403926068,0.7564432833623171,2.40585688324092,0.8318160183925545
BIG LoBM,0.38634775067073635,0.9766842045387728,52.24096547043053,0.3208853456858079,12.457929780713418,-0.8441748847712534,-26.544044571430753,0.3946870573137149,6.197803320730716,0.6891013468905212,3.9772467949439236,0.915876061937661
ME5 BM2,-0.3028614272307729,1.038713225920931,51.80059573199921,0.3601908557125571,13.037992895668639,-0.3930456096521268,-11.522844008995762,0.33585905068961136,4.917269641334444,1.1848327010913946,6.375856534324262,0.9019509283323524
ME5 BM3,0.1553863950799106,1.0527727449034403,44.79996397580886,0.3761301687255102,11.617700189377556,-0.2043301248357498,-5.111555402644722,0.3078909260549069,3.8465182419310278,0.7290748070485062,3.3477848112293933,0.8682299841648744
ME5 BM4,0.22458477055759588,1.0881162089672582,43.19753785363226,0.3915789280625256,11.283452148665187,0.05955112499593316,1.3897968552337585,0.3444196979655063,4.014205211677776,0.7407553330846056,3.1732253297516837,0.8590986846946884
BIG HiBM,-0.7758713633965914,1.192134009628976,35.80129740971152,0.5107311739235041,11.132815680479746,0.4693601101558878,8.286239943189944,0.45865857407256083,4.043813137418788,1.5178142779804364,4.918523296389143,0.8230806733562349
